id,count
0,112
1,209
2,69
4,42
5,39
10,157
11,216
12,264
15,50
17,97
18,234
23,227
25,122
26,62
31,192
39,178
40,32
41,178
42,294
43,160
51,205
52,104
54,36
60,119
61,136
62,99
63,36
65,138
66,121
68,194
71,83
80,52
82,81
94,117
98,271
101,47
102,120
107,142
112,238
113,84
115,56
116,146
120,154
121,68
122,279
132,198
143,74
147,82
150,17
151,86
152,239
153,96
155,137
156,68
159,176
161,160
163,64
177,167
186,45
188,31
190,112
191,92
192,265
195,230
200,168
209,269
210,31
211,207
214,178
215,43
218,121
219,46
222,146
225,26
228,289
236,240
241,47
242,179
243,252
245,38
247,236
251,135
252,102
253,86
254,99
258,338
260,66
261,177
265,97
266,229
267,217
269,171
270,71
275,123
278,45
279,73
286,120
287,37
288,231
289,157
293,33
294,155
297,33
302,110
303,76
304,27
307,107
309,34
311,195
312,157
314,192
315,242
319,183
322,127
323,79
325,131
327,210
330,53
332,213
333,38
338,116
341,116
345,170
348,103
349,62
350,132
352,69
355,24
356,221
358,90
363,132
369,127
371,24
372,132
375,238
380,136
388,58
391,171
392,210
393,299
394,160
396,33
401,39
407,81
409,94
410,113
416,87
418,131
420,171
421,199
422,126
424,258
428,266
429,230
431,171
435,8
439,128
441,29
447,90
449,144
451,138
452,36
454,195
458,201
463,126
467,36
470,208
471,160
474,214
478,36
483,111
484,161
485,93
486,123
491,91
494,101
495,186
497,197
499,147
515,108
518,193
521,183
525,158
529,248
532,128
534,82
540,91
544,250
547,166
549,72
563,52
564,149
567,104
572,117
577,169
578,279
585,269
588,144
589,131
590,111
592,38
594,226
596,33
598,304
599,134
605,42
606,106
607,188
608,224
609,76
610,269
611,150
614,124
615,210
616,210
617,137
618,230
624,97
629,135
631,105
633,88
637,35
638,103
643,54
644,153
645,55
646,203
648,158
650,40
651,159
652,210
656,130
657,34
659,67
660,213
662,112
665,333
675,242
681,154
682,172
685,21
686,217
689,37
696,144
703,175
704,103
705,152
714,222
717,112
718,32
720,93
721,264
723,238
726,143
728,132
730,190
731,32
734,336
737,74
738,28
745,182
746,39
749,216
752,35
753,127
758,235
765,32
766,252
768,80
769,181
774,139
775,110
781,59
784,223
794,42
795,236
796,73
802,159
803,163
805,41
806,238
807,97
809,31
810,157
812,158
814,99
818,237
819,132
825,45
836,90
839,103
847,263
848,123
851,103
852,142
853,35
857,156
858,62
859,207
861,19
867,123
870,187
871,213
872,229
874,354
881,233
886,134
890,76
895,199
899,98
900,249
901,239
902,226
903,57
913,247
918,198
923,139
924,43
926,45
927,29
930,206
934,45
937,163
939,156
941,104
942,303
946,224
950,102
953,84
959,62
961,36
962,104
964,88
969,179
971,136
976,49
978,240
980,176
981,148
990,290
993,22
996,42
998,271
999,188
1006,128
1008,34
1013,43
1015,102
1016,125
1022,226
1026,188
1028,225
1031,31
1034,50
1037,201
1040,86
1042,35
1046,37
1048,87
1049,121
1050,84
1051,207
1052,219
1055,159
1060,154
1064,56
1066,89
1071,114
1073,34
1089,195
1091,105
1092,95
1093,228
1096,233
1097,205
1098,29
1099,43
1102,174
1107,96
1109,45
1111,95
1112,123
1114,291
1116,253
1117,121
1118,75
1122,145
1124,148
1127,97
1133,238
1134,55
1135,180
1139,213
1143,66
1150,110
1151,128
1153,245
1155,51
1162,43
1163,173
1166,11
1171,100
1172,37
1173,251
1174,99
1177,139
1178,160
1184,150
1185,110
1186,94
1187,152
1188,238
1191,166
1207,104
1213,74
1215,115
1223,173
1227,132
1236,64
1237,74
1238,40
1241,42
1248,36
1250,39
1251,155
1253,111
1255,105
1257,219
1261,110
1262,334
1265,131
1273,187
1277,195
1278,84
1280,100
1284,206
1285,256
1288,55
1295,117
1297,332
1299,242
1304,184
1308,52
1310,95
1311,91
1314,110
1315,99
1318,44
1320,265
1321,219
1322,231
1330,118
1333,175
1334,185
1341,149
1344,153
1351,220
1354,64
1356,63
1363,130
1365,179
1369,124
1373,109
1375,109
1377,90
1379,142
1380,220
1381,77
1384,188
1390,191
1393,229
1395,60
1399,326
1400,77
1401,167
1404,193
1408,46
1409,21
1413,220
1416,214
1418,90
1423,105
1424,36
1425,32
1433,282
1434,174
1436,328
1442,195
1444,91
1445,152
1452,212
1455,191
1462,85
1467,76
1472,60
1475,176
1493,113
1501,227
1503,249
1504,215
1505,33
1511,243
1512,79
1513,106
1514,56
1528,247
1533,243
1534,44
1536,177
1537,87
1539,217
1550,187
1552,208
1554,191
1555,280
1556,68
1559,36
1563,232
1566,190
1567,157
1568,46
1571,216
1572,36
1574,63
1577,50
1583,60
1585,49
1586,201
1587,200
1596,148
1602,40
1604,85
1605,54
1610,249
1611,98
1616,46
1617,95
1618,33
1622,55
1623,38
1628,253
1631,19
1632,219
1633,247
1634,265
1636,169
1637,103
1643,146
1644,97
1646,124
1648,202
1651,45
1656,22
1658,156
1659,22
1665,140
1666,144
1670,61
1674,180
1679,201
1680,176
1683,350
1686,32
1691,106
1693,58
1696,46
1697,88
1703,105
1706,42
1709,159
1710,76
1712,217
1713,105
1718,309
1719,181
1722,240
1723,136
1724,226
1728,46
1730,62
1732,44
1737,36
1745,75
1747,33
1748,37
1755,114
1759,48
1761,222
1764,249
1765,152
1766,84
1768,91
1770,55
1771,141
1774,86
1785,126
1788,198
1792,30
1794,239
1797,122
1798,23
1799,274
1802,98
1806,48
1808,87
1810,225
1818,122
1819,329
1820,243
1822,204
1826,174
1827,213
1835,43
1841,119
1842,121
1843,48
1846,56
1849,93
1850,226
1851,170
1857,58
1858,165
1860,93
1861,242
1864,100
1869,253
1871,83
1872,12
1875,30
1878,257
1879,246
1885,88
1888,109
1889,41
1890,100
1896,158
1897,154
1898,162
1900,114
1905,54
1908,101
1909,99
1913,75
1918,103
1922,289
1923,125
1925,210
1926,115
1927,205
1930,179
1935,86
1939,141
1942,94
1943,202
1948,260
1949,199
1951,106
1953,120
1959,121
1963,50
1967,147
1973,199
1975,36
1976,77
1990,134
1993,127
1997,175
1999,103
2001,326
2004,74
2010,113
2013,140
2017,264
2021,79
2023,152
2026,162
2037,38
2039,178
2041,37
2046,31
2050,32
2060,217
2067,85
2069,170
2072,222
2074,147
2079,109
2083,32
2085,148
2087,28
2093,158
2094,33
2097,46
2103,105
2104,77
2107,179
2108,25
2110,64
2115,219
2117,45
2125,214
2127,286
2133,33
2134,350
2135,113
2141,249
2143,48
2145,77
2146,55
2147,294
2148,82
2149,63
2165,99
2166,151
2177,160
