id,count
0,89
1,234
2,100
4,32
5,78
10,126
11,180
12,272
15,31
17,101
18,272
23,246
25,123
26,39
31,240
39,163
40,27
41,216
42,273
43,172
51,216
52,86
54,28
60,127
61,132
62,110
63,24
65,124
66,108
68,166
71,78
80,30
82,65
94,126
98,265
101,31
102,142
107,136
112,218
113,85
115,64
116,129
120,131
121,97
122,279
132,194
143,86
147,65
150,21
151,79
152,244
153,80
155,110
156,105
159,175
161,132
163,40
177,174
186,28
188,20
190,96
191,95
192,244
195,254
200,195
209,277
210,27
211,220
214,202
215,31
218,107
219,34
222,129
225,21
228,281
236,205
241,28
242,183
243,230
245,28
247,255
251,141
252,88
253,78
254,100
258,285
260,64
261,152
265,80
266,250
267,250
269,175
270,66
275,111
278,40
279,77
286,93
287,25
288,232
289,192
293,22
294,195
297,52
302,104
303,78
304,76
307,107
309,26
311,175
312,201
314,193
315,229
319,210
322,120
323,63
325,133
327,247
330,39
332,191
333,23
338,108
341,109
345,218
348,133
349,41
350,124
352,62
355,18
356,195
358,65
363,129
369,155
371,20
372,146
375,261
380,126
388,35
391,151
392,249
393,285
394,120
396,30
401,28
407,74
409,82
410,113
416,107
418,125
420,161
421,189
422,137
424,287
428,261
429,242
431,201
435,19
439,127
441,27
447,80
449,154
451,158
452,28
454,215
458,238
463,134
467,26
470,240
471,163
474,257
478,27
483,112
484,149
485,80
486,125
491,104
494,107
495,232
497,208
499,179
515,114
518,210
521,138
525,146
529,246
532,136
534,79
540,79
544,279
547,184
549,39
563,38
564,156
567,112
572,116
577,144
578,261
585,267
588,153
589,120
590,115
592,27
594,242
596,27
598,271
599,134
605,33
606,121
607,238
608,222
609,63
610,272
611,123
614,145
615,219
616,239
617,123
618,232
624,113
629,137
631,80
633,86
637,31
638,110
643,60
644,188
645,40
646,193
648,202
650,29
651,121
652,265
656,148
657,26
659,77
660,218
662,110
665,292
675,274
681,179
682,224
685,19
686,187
689,31
696,150
703,199
704,107
705,164
714,216
717,92
718,27
720,86
721,257
723,226
726,114
728,134
730,120
731,32
734,294
737,79
738,22
745,172
746,31
749,221
752,31
753,110
758,224
765,27
766,242
768,80
769,209
774,135
775,120
781,64
784,263
794,28
795,267
796,80
802,205
803,127
805,39
806,259
807,110
809,22
810,183
812,118
814,107
818,247
819,162
825,66
836,116
839,118
847,263
848,119
851,130
852,137
853,32
857,175
858,39
859,232
861,32
867,117
870,229
871,240
872,198
874,291
881,200
886,142
890,65
895,149
899,80
900,257
901,256
902,215
903,33
913,258
918,238
923,184
924,40
926,28
927,20
930,225
934,36
937,198
939,148
941,88
942,286
946,244
950,107
953,89
959,95
961,26
962,89
964,97
969,198
971,135
976,28
978,237
980,239
981,144
990,277
993,23
996,28
998,269
999,189
1006,124
1008,26
1013,27
1015,102
1016,116
1022,264
