PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Title,Family
1,0.0,3,0,2,1,0,1,1
2,1.0,1,1,3,3,2,3,1
3,1.0,3,1,2,1,0,2,0
4,1.0,1,1,3,3,0,3,1
5,0.0,3,0,3,1,0,1,0
6,0.0,3,0,2,1,1,1,0
7,0.0,1,0,5,3,0,1,0
8,0.0,3,0,0,2,0,4,2
9,1.0,3,1,2,1,0,3,1
10,1.0,2,1,1,2,2,3,1
11,1.0,3,1,0,2,0,2,1
12,1.0,1,1,5,2,0,2,0
13,0.0,3,0,1,1,0,1,0
14,0.0,3,0,3,2,0,1,2
15,0.0,3,1,1,1,0,2,0
16,1.0,2,1,5,2,0,3,0
17,0.0,3,0,0,2,1,4,2
18,1.0,2,0,2,2,0,1,0
19,0.0,3,1,3,2,0,3,1
20,1.0,3,1,2,1,2,3,0
21,0.0,2,0,3,2,0,1,0
22,1.0,2,0,3,2,0,1,0
23,1.0,3,1,1,1,1,2,0
24,1.0,1,0,2,2,0,1,0
25,0.0,3,1,0,2,0,2,2
26,1.0,3,1,3,2,0,3,2
27,0.0,3,0,2,1,2,1,0
28,0.0,1,0,1,4,0,1,2
29,1.0,3,1,2,1,1,2,0
30,0.0,3,0,2,1,0,1,0
31,0.0,1,0,3,2,2,5,0
32,1.0,1,1,3,4,2,3,1
33,1.0,3,1,2,1,1,2,0
34,0.0,2,0,6,1,0,1,0
35,0.0,1,0,2,3,2,1,1
36,0.0,1,0,4,3,0,1,1
37,1.0,3,0,2,1,2,1,0
38,0.0,3,0,2,1,0,1,0
39,0.0,3,1,1,2,0,2,1
40,1.0,3,1,1,2,2,2,1
41,0.0,3,1,3,1,0,3,1
42,0.0,2,1,2,2,0,3,1
43,0.0,3,0,2,1,2,1,0
44,1.0,2,1,0,3,2,2,1
45,1.0,3,1,1,1,1,2,0
46,0.0,3,0,2,1,0,1,0
47,0.0,3,0,2,2,1,1,1
48,1.0,3,1,2,1,1,2,0
49,0.0,3,0,2,2,2,1,1
50,0.0,3,1,1,2,0,3,1
51,0.0,3,0,0,2,0,4,2
52,0.0,3,0,2,1,0,1,0
53,1.0,1,1,4,3,2,3,1
54,1.0,2,1,2,2,0,3,1
55,0.0,1,0,6,3,2,1,1
56,1.0,1,0,3,2,0,1,0
57,1.0,2,1,2,1,0,2,0
58,0.0,3,0,2,1,2,1,0
59,1.0,2,1,0,2,0,2,1
60,0.0,3,0,1,3,0,4,2
61,0.0,3,0,2,1,2,1,0
62,1.0,1,1,3,3,0,2,0
63,0.0,1,0,4,3,0,1,1
64,0.0,3,0,0,2,0,4,2
65,0.0,1,0,3,2,2,1,0
66,1.0,3,0,2,2,2,4,1
67,1.0,2,1,2,1,0,3,0
68,0.0,3,0,1,1,0,1,0
69,1.0,3,1,1,1,0,2,2
70,0.0,3,0,2,1,0,1,1
71,0.0,2,0,3,1,0,1,0
72,0.0,3,1,1,3,0,2,2
73,0.0,2,0,2,3,0,1,0
74,0.0,3,0,2,2,2,1,1
75,1.0,3,0,3,3,0,1,0
76,0.0,3,0,2,1,0,1,0
77,0.0,3,0,2,1,0,1,0
78,0.0,3,0,2,1,0,1,0
79,1.0,2,0,0,2,0,4,1
80,1.0,3,1,2,2,0,2,0
81,0.0,3,0,2,1,0,1,0
82,1.0,3,0,2,1,0,1,0
83,1.0,3,1,2,1,1,2,0
84,0.0,1,0,2,3,0,1,0
85,1.0,2,1,1,1,0,2,0
86,1.0,3,1,3,2,0,3,1
87,0.0,3,0,1,2,0,1,2
88,0.0,3,0,2,1,0,1,0
89,1.0,1,1,2,4,0,2,2
90,0.0,3,0,2,1,0,1,0
91,0.0,3,0,2,1,0,1,0
92,0.0,3,0,1,1,0,1,0
93,0.0,1,0,4,3,0,1,1
94,0.0,3,0,2,2,0,1,1
95,0.0,3,0,5,1,0,1,0
96,0.0,3,0,2,1,0,1,0
97,0.0,1,0,7,2,2,1,0
98,1.0,1,0,2,3,2,1,1
99,1.0,2,1,3,2,0,3,1
100,0.0,2,0,3,2,0,1,1
101,0.0,3,1,2,1,0,2,0
102,0.0,3,0,2,1,0,1,0
103,0.0,1,0,2,3,0,1,1
104,0.0,3,0,3,1,0,1,0
105,0.0,3,0,3,1,0,1,1
106,0.0,3,0,2,1,0,1,0
107,1.0,3,1,2,1,0,2,0
108,1.0,3,0,2,1,0,1,0
109,0.0,3,0,3,1,0,1,0
110,1.0,3,1,2,2,1,2,1
111,0.0,1,0,4,3,0,1,0
112,0.0,3,1,1,2,2,2,1
113,0.0,3,0,2,1,0,1,0
114,0.0,3,1,1,1,0,2,1
115,0.0,3,1,1,2,2,2,0
116,0.0,3,0,2,1,0,1,0
117,0.0,3,0,6,1,1,1,0
118,0.0,2,0,2,2,0,1,1
119,0.0,1,0,2,4,2,1,1
120,0.0,3,1,0,2,0,2,2
121,0.0,2,0,2,3,0,1,1
122,0.0,3,0,2,1,0,1,0
123,0.0,2,0,3,2,2,1,1
124,1.0,2,1,3,2,0,2,0
125,0.0,1,0,5,3,0,1,1
126,1.0,3,0,1,2,2,4,1
127,0.0,3,0,2,1,1,1,0
128,1.0,3,0,2,1,0,1,0
129,1.0,3,1,2,2,2,2,1
130,0.0,3,0,4,1,0,1,0
131,0.0,3,0,3,1,2,1,0
132,0.0,3,0,1,1,0,1,0
133,0.0,3,1,4,2,0,3,1
134,1.0,2,1,2,2,0,3,1
135,0.0,2,0,2,2,0,1,0
136,0.0,2,0,2,2,2,1,0
137,1.0,1,1,1,2,0,2,1
138,0.0,1,0,3,3,0,1,1
139,0.0,3,0,1,1,0,1,0
140,0.0,1,0,2,3,2,1,0
141,0.0,3,1,2,2,2,3,1
142,1.0,3,1,2,1,0,2,0
143,1.0,3,1,2,2,0,3,1
144,0.0,3,0,1,1,1,1,0
145,0.0,2,0,1,2,0,1,0
146,0.0,2,0,1,2,0,1,1
147,1.0,3,0,2,1,0,1,0
148,0.0,3,1,0,2,0,2,2
149,0.0,2,0,3,2,0,1,1
150,0.0,2,0,4,2,0,5,0
151,0.0,2,0,5,2,0,5,0
152,1.0,1,1,2,3,0,3,1
153,0.0,3,0,5,1,0,1,0
154,0.0,3,0,3,2,0,1,1
155,0.0,3,0,2,1,0,1,0
156,0.0,1,0,5,3,2,1,1
157,1.0,3,1,1,1,1,2,0
158,0.0,3,0,2,1,0,1,0
159,0.0,3,0,2,1,0,1,0
160,0.0,3,0,2,3,0,4,2
161,0.0,3,0,4,2,0,1,1
162,1.0,2,1,3,2,0,3,0
163,0.0,3,0,2,1,0,1,0
164,0.0,3,0,1,1,0,1,0
165,0.0,3,0,0,2,0,4,2
166,1.0,3,0,0,2,0,4,1
167,1.0,1,1,3,3,0,3,1
168,0.0,3,1,4,2,0,3,2
169,0.0,1,0,3,2,0,1,0
170,0.0,3,0,2,3,0,1,0
171,0.0,1,0,6,2,0,1,0
172,0.0,3,0,0,2,1,4,2
173,1.0,3,1,0,1,0,2,1
174,0.0,3,0,2,1,0,1,0
175,0.0,1,0,5,2,2,1,0
176,0.0,3,0,1,1,0,1,1
177,0.0,3,0,2,2,0,4,2
178,0.0,1,1,4,2,2,2,0
179,0.0,2,0,2,2,0,1,0
180,0.0,3,0,3,0,0,1,0
181,0.0,3,1,2,3,0,2,2
182,0.0,2,0,2,2,2,1,0
183,0.0,3,0,0,2,0,4,2
184,1.0,2,0,0,2,0,4,1
185,1.0,3,1,0,2,0,2,1
186,0.0,1,0,3,3,0,1,0
187,1.0,3,1,2,2,1,3,1
188,1.0,1,0,4,2,0,1,0
189,0.0,3,0,3,2,1,1,1
190,0.0,3,0,3,1,0,1,0
191,1.0,2,1,3,2,0,3,0
192,0.0,2,0,1,2,0,1,0
193,1.0,3,1,1,1,0,2,1
194,1.0,2,0,0,2,0,4,1
195,1.0,1,1,4,2,2,3,0
196,1.0,1,1,5,4,2,2,0
197,0.0,3,0,2,1,1,1,0
198,0.0,3,0,4,1,0,1,1
199,1.0,3,1,2,1,1,2,0
200,0.0,2,1,2,2,0,2,0
201,0.0,3,0,2,1,0,1,0
202,0.0,3,0,2,3,0,1,2
203,0.0,3,0,3,1,0,1,0
204,0.0,3,0,4,1,2,1,0
205,1.0,3,0,1,1,0,1,0
206,0.0,3,1,0,1,0,2,1
207,0.0,3,0,3,2,0,1,1
208,1.0,3,0,2,2,2,1,0
209,1.0,3,1,1,1,1,2,0
210,1.0,1,0,3,2,2,1,0
211,0.0,3,0,2,1,0,1,0
212,1.0,2,1,3,2,0,2,0
213,0.0,3,0,2,1,0,1,0
214,0.0,2,0,2,2,0,1,0
215,0.0,3,0,2,1,1,1,1
216,1.0,1,1,3,3,2,2,1
217,1.0,3,1,2,1,0,2,0
218,0.0,2,0,4,2,0,1,1
219,1.0,1,1,3,3,2,2,0
220,0.0,2,0,2,1,0,1,0
221,1.0,3,0,1,1,0,1,0
222,0.0,2,0,2,2,0,1,0
223,0.0,3,0,5,1,0,1,0
224,0.0,3,0,2,1,0,1,0
225,1.0,1,0,3,3,0,1,1
226,0.0,3,0,2,1,0,1,0
227,1.0,2,0,1,1,0,1,0
228,0.0,3,0,1,1,0,1,0
229,0.0,2,0,1,2,0,1,0
230,0.0,3,1,2,2,0,2,2
231,1.0,1,1,3,3,0,3,1
232,0.0,3,0,2,1,0,1,0
233,0.0,2,0,5,2,0,1,0
234,1.0,3,1,0,2,0,2,2
235,0.0,2,0,2,1,0,1,0
236,0.0,3,1,2,1,0,2,0
237,0.0,2,0,4,2,0,1,1
238,1.0,2,1,0,2,0,2,1
239,0.0,2,0,1,1,0,1,0
240,0.0,2,0,3,2,0,1,0
241,0.0,3,1,2,2,2,2,1
242,1.0,3,1,2,2,1,2,1
243,0.0,2,0,2,1,0,1,0
244,0.0,3,0,2,1,0,1,0
245,0.0,3,0,2,1,2,1,0
246,0.0,1,0,4,3,1,5,1
247,0.0,3,1,2,1,0,2,0
248,1.0,2,1,2,2,0,3,1
249,1.0,1,0,3,3,0,1,1
250,0.0,2,0,5,2,0,5,1
251,0.0,3,0,2,1,0,1,0
252,0.0,3,1,2,1,0,3,1
253,0.0,1,0,6,2,0,1,0
254,0.0,3,0,2,2,0,1,1
255,0.0,3,1,4,2,0,3,1
256,1.0,3,1,2,2,2,3,1
257,1.0,1,1,3,3,2,3,0
258,1.0,1,1,2,3,0,2,0
259,1.0,1,1,3,4,2,2,0
260,1.0,2,1,4,2,0,3,1
261,0.0,3,0,2,1,1,1,0
262,1.0,3,0,0,2,0,4,2
263,0.0,1,0,5,3,0,1,1
264,0.0,1,0,3,0,0,1,0
265,0.0,3,1,2,1,1,2,0
266,0.0,2,0,3,1,0,1,0
267,0.0,3,0,1,2,0,1,2
268,1.0,3,0,2,1,0,1,1
269,1.0,1,1,5,4,0,3,1
270,1.0,1,1,3,3,0,2,0
271,0.0,1,0,3,2,0,1,0
272,1.0,3,0,2,0,0,1,0
273,1.0,2,1,4,2,0,3,1
274,0.0,1,0,3,2,2,1,1
275,1.0,3,1,2,1,1,2,0
276,1.0,1,1,6,3,0,2,1
277,0.0,3,1,4,1,0,2,0
278,0.0,2,0,2,0,0,1,0
